Building Name,Address,Broker,Broker Phone
The Diamonds at Siesta Enclave,"Avenue A, Sarasota, FL, 34231",Sean Dreznin,941-961-8199
Rosemary Portfolio I 19 units + 68 Beds I 7 Blocks from UF,"1205 NW 7th Ave, Gainesville, FL, 32601",Skip Bone,407-312-4581
Palm Villas,"8372 Beacon Blvd, Fort Myers, FL, 33907",Adam Podbelski,813-697-1475
Suwannee River Bend RV Park,"28872 SE Hwy 19, Old Town, FL, 32680",Sonja Reed,352-210-6309
Homosassa Storage,"8787 S Suncoast Blvd, Homosassa, FL, 34446",Christopher Travis,407-924-1408
Lois Apartments,"8412 N Lois Ave, Tampa, FL, 33614",Mark Savarese,813-577-3837
Pine Island RV & Marina,"1600 Lake George Rd, Seville, FL, 32190",Bob Kaplan,970-409-5122
117 Bellevue,"117 Bellevue Ave, Daytona Beach, FL, 32114",Dino Dodani,386-679-0888
Jumbo RV & Boat Storage,"1158 8th Ave W, Palmetto, FL, 34221",Ray Turchi,407-557-3847
River Road Apartments,"1660 River Rd, Jacksonville, FL, 32207",Doug Shavel,786-763-3050
"Miami Beach - Normandy Isle - 27 Units $100,000 co broke fee","1986 Biarritz Dr, Miami Beach, FL, 33141",Arthur Porosoff,305-209-8866
ALTURA Student Living,"400 Putnam Dr, Tallahassee, FL, 32301",Benjamin Skinner,407-557-3889
Palmetto Golf Club Apartments,"15900 SW 95th Ave, Miami, FL, 33157",Evan Kristol,954-245-3459
The Flats at Ingram Park,"14255 NW 22nd Ave, Opa-locka, FL, 33054",Adam Marcuvitz,786-522-7194
Rio Vista Village,"200 78th Ave N, St. Petersburg, FL, 33702",Darron Kattan,813-345-5887
Tampa MSA Boat & RV Storage Portfolio,"9933 Race Track Rd, Tampa, FL, 33626",Christopher Travis,407-924-1408
Executive Estates & River Heights Portfolio,"5644 Grand Blvd, New Port Richey, FL, 34652","Ned Roberts, CCIM",813-387-4721
Ultra Prime GoldenGate Point 12 Unit Development Opportunity,"621 GOLDEN GATE POINT, SARASOTA, FL, 34236",David Neff,941-448-1500
Altura Apartment Homes and Villas One Apartment Homes,"1835 Segrave St, South Daytona, FL, 32119",Dino Dodani,386-679-0888
WATERFRONT MIXED DEVELOPMENT PROPERTY COTEE RIVER LANDING,"5325 Treadway Dr, Port Richey, FL, 34668",FRANK  CHARLES GRIMALDI,813-431-8080
Fort Pierce Storage & RV Parking,"4400 Metzger Rd, Fort Pierce, FL, 34947",John Lindsey,919-381-7799
Oceanside Marina,"199 Morris Ave, Key Largo, FL, 33037",Greg Dully,305-900-4232
ISLE OF NORMANDY MIAMI VI,"2140 Bay Dr, Miami Beach, FL, 33141",MARILINA APFELBAUM,786-287-3633
Tampa Bay Center,"2915 N Dale Mabry Hwy, Tampa, FL, 33607",Ari Ravi,727-452-6864
TWO THORTON PARK DEVELOPMENT SITES,"225 S Eola Dr, Orlando, FL, 32801",John Kurtz,407-864-9488
Brookside Apartments,"3605 S School Ave, Sarasota, FL, 34239",Melissa Kobielnik,941-928-9067
Ft. Lauderdale Beach Apartments Retail,"3114 E Sunrise Blvd, Fort Lauderdale, FL, 33304",Matt Yelken,786-522-7079
The Xena Portfolio,"2001 Raper Dairy Rd, Orlando, FL, 32822",Jason Hague,813-387-4754
East of 5th Townhomes,"509 NE 121st St, North Miami, FL, 33161",Dan Dratch,954-312-1677
24 hr Miami adult club also approved for affordable housing,"2663 NW 36th St, Miami, FL, 33142",Tina DeSanctis,561-351-9196
FLORIDA KEYS 13759 Overseas Hwy.,"13759 Overseas Hwy, Marathon, FL, 33050",ROGER SHIELDS,786-447-2049
West Haven Urban Residences,"4114 W North B St, Tampa, FL, 33609",Jason D'Agostino,941-685-1228
Monroe Place,"2030 Monroe Ave, Naples, FL, 34112",Travis Jones,954-727-5775
Royal Palms Apartments,"2002 7th Ave W, Bradenton, FL, 34205",Sam Ferguson,813-387-4748
HOLLYWOOD - Polk Street Assemblage,"2621-2631 Polk St, Hollywood, FL, 33020",Ron Mann,305-490-1404
1455 units of airbnb zoned properties,"Ridgewood Ave, Holly Hill, 32117",Dino Dodani,386-679-0888
The North Tampa Portfolio,"1909 E 137th Ave, Tampa, FL, 33613",Donald Turner,813-387-4718
Self Storage Portfolio,"8151 NW 160th St, Trenton, FL, 32693",Brian Oen,352-698-5656
Glenbrooke Apartments,"8121 45th Ct E, Sarasota, FL, 34243",Mark Savarese,813-577-3837
McGregor Village Neighborhood Center,"12715 McGregor Blvd, Fort Myers, FL, 33919",Ronald Delfino,239-989-2328
Boutique 18,"235 18th St, Miami Beach, FL, 33139",Orine Dadon,954-224-1323
All-Age Park Owned MHC,"Thonotosassa, FL, Thonotosassa, FL, 33592",Yeleine Caicedo,754-281-8831
Franklin Arms,"2320 First St, Fort Myers, FL, 33901","Ned Roberts, CCIM",813-387-4721
2120 Collier Ave BLDG A & B,"2120 Collier Ave, Fort Myers, FL, 33901",Julie Clapp,561-236-9722
Palms Condominiums,"230 SW 2nd Ave, Gainesville, FL, 32601",Teresa Callen,352-871-5865
Blueberry Country Estates,"2811 Jelly Ln, Crestview, FL, 32539",Jonathan Howell,321-297-4512
Premier Furniture Retailer in Central Florida,"4968 E Busch Blvd, Tampa, FL, 33617",Mohanad Rifaie,813-777-1854
150-RM MOTEL OR CONVERSION OPPORTUNITY,"4985 W Irlo Bronson Memorial Hwy, Kissimmee, FL, 34746",Benny Spensieri,813-391-1545
Portfolio of 10 Beach Condos in The Same Building,"9902 S  Thomas Dr, Panama City Beach, FL, 32408",Mihail Stoyanov,239-298-6311
174k Sqft Retirement Home + 5 acres Multifamily land,"2901 Jacaranda Blvd, Venice, FL, 34293",Jesse Ialuna,978-496-5436
"RARE 20 House Portfolio, Excellent Cap Rate","612-696, Tallahassee, FL, 32305",Fred DeFalco,833-243-3325
Diverse Use Keys Property,"81 Coco Plum Dr, Marathon, FL, 33050",Rick Roughen,954-298-7703
Bay Dock Enterprises,"9002 W Hillsborough Ave, Tampa, FL, 33615",Coach Cook,813-319-6461
Fontainebleau Apartments,"8501 NW 8th St, Miami, FL, 33126",David Restainer,305-482-1450
The White House Apartments,"1600 Pennsylvania Ave CONDOMINIUM, Miami Beach, FL, 33139",UGO CORTESANO,786-942-3238
St. Marks Marina,"28 Lynn Cir, Saint Marks, FL, 32355",Bryan Cureton,850-545-3687
1299 E Oakland Park Blvd,"1299 E Oakland Park Blvd, Oakland Park, FL, 33334",Richard DeGirolamo,215-680-2266
Pool of Performing 2nd Position Notes,"123 1st St, Miami Beach, FL, 33139",Derrick Barker,727-761-3877
Euclid Schoolhouse Flats,"1090 10th St N, St. Petersburg, FL, 33705",Mark Savarese,813-577-3837
13% Cash-On-Cash Return! 24-Unit Condo Portfolio For Sale,"115 112th Ave NE, St. Petersburg, FL, 33716",David Rosenthal,813-882-0884
Goodyear & Tom Watson Portfolio,"1619 Goodyear Ave, Lakeland, FL, 33801",Cary Brown,813-559-2015
Downtown Tampa Mixed-Use Development Opportunity,"401 S Florida Ave, Tampa, FL, 33602",Matt Hall,813-538-6844
719 Biltmore Residences,"719 Biltmore Way, Coral Gables, FL, 33134",Virgilio Fernandez,305-613-4507
The Edge at 401,"401 W Park Ave, Tallahassee, FL, 32301","Ned Roberts, CCIM",813-387-4721
Prime Multi-Family Development Opportunity,"5525 E Irlo Bronson Memorial Hwy, St. Cloud, FL, 34771",Matthew Weinberger,321-281-8510
Singer Island Development Opportunity,"1200 Blue Heron Blvd, Riviera Beach, FL, 33404",William Cunningham,561-856-7982
The Boulevard Apartment Homes,"3810 5th St E, Bradenton, FL, 34208",Adam Podbelski,813-697-1475
Serenity Lake,"14508 Seaford Cir, Tampa, FL, 33613",Darron Kattan,813-345-5887
1611 NW 19th St,"1611 NW 19th St, Miami, FL, 33125",Julian Yuken,786-973-9488
Waterford Villas,"6954 SW 5th St, Margate, FL, 33068",Martin J Goldstein,561-310-0935
Knights Center Apartments,"176 NE 68th St, Miami, FL, 33138",Jesse Spencer,239-788-7820
Hammocks South Townhomes,"SE Cove Rd, Stuart, FL, 34997",Chris Belland,561-277-6613
Phillippi Square,"1860 Phillippi Shores Dr, Sarasota, FL, 34231",Jason Hague,813-387-4754
Allapattah 23,"2311 NW 22nd Ave, Miami, FL, 33142",Pablo Camposano,786-210-2730
Wallis & Stacy Townhomes,"5280 Stacy St, West Palm Beach, FL, 33417",Evan Richardson,954-245-3501
Hotel-Multifamily Conversion Opportunity-Approved 94 Units,"2934 Polynesian Isle Blvd, Kissimmee, FL, 34746","Dennis Hopper, CCIM",813-605-1756
Village Square Apartments,"1715 NE 36th Ave, Ocala, FL, 34470",Jason Hague,813-387-4754
Multifamily Shovel-Ready Lots at Pine Key,"1015-1055 Hancock Creek S Blvd, Cape Coral, FL, 33909",Jaime Oldenborg,772-370-6467
60 units! Don't ask me for this three months later!,"Beville Rd, Daytona Beach, FL, 32117",Dino Dodani,386-679-0888
Heritage Key Villas,"2089 Heritage Ky Blvd, Kissimmee, FL, 34744",Rich Deptula,248-848-4938
Prime Commercial Property in the Heart of Islamorada,"82705 Overseas Hwy, Islamorada, FL, 33036","Curtis A. Skomp, CCIM",305-304-0084
Boca Raton,"Boca Raton, Boca Raton, FL, 33428",Tom Prakas,561-368-0003
Large/High Ceilings Pensacola Warehouse For Sale,"3225 N L St, Pensacola, FL, 32505",Faith Morgan,850-889-2571
594 Ballough Road,"594 Ballough Road, Daytona Beach, FL, 32114",Frank Molnar,386-290-0081
600 Ballough Road,"600 Ballough Road, Daytona Beach, FL, 32114",Frank Molnar,386-290-0081
578 Ballough Road,"578 Ballough Road, Daytona Beach, FL, 32114",Frank Molnar,386-290-0081
Biscayne Point Portfolio,"660 85th St & 709 83rd St, Miami Beach, FL, 33141",Virgilio Fernandez,305-613-4507
Industrial Warehouse & Office Gateway Business Park,"3001 SW 10 Street, Pompano Beach, FL, 33069","Brian Carter, P.A.",305-582-2424
1111 Ponce De Leon Assemblage,"1111 Ponce de Leon Blvd, Coral Gables, FL, 33134",Julian Zuniga,786-547-0153
SPECTRUM AT REUNION,"Tradition Blvd, Four Corners, FL, 34747",Michael Crocchiola,786-522-7005
Siesta Key Point of Rocks Redevelopment Opportunity,"1101 and 1105 Point Of Rocks, Sarasota, FL, 34242",David Neff,941-448-1500
Calle Ocho Multifamily & Retail - Javier Ubeda 305 766-1864,"1323 SW 8th St, Miami, FL, 33135",Arthur Porosoff,305-209-8866
MOBIL TRUCK STOP,"12200 NW S RIVER DR, MEDLEY, FL, 33178",Bobby Berrido,786-260-7507
Casa Verde Condominium,"1150 93rd St, Bay Harbor Islands, FL, 33154",David Duckworth,954-938-1806
Premiere Coastal Redevelopment Sites on Fort Myers Beach,"1600 Estero Blvd, Fort Myers Beach, FL, 33931","Stephen A. Cunningham, MAI, SRA, CCIM",239-910-4085
AIRBNBEACH WALK,"801 1st St S, Jacksonville Beach, FL, 32250",William Bruce,904-994-1579
Waterfront 204 Approved Luxury Apartments,"400 E Atlantic Blvd, Pompano Beach, FL, 33060",Keiti Silva,786-838-3687
Gateway to Downtown West,"300 W Lime St, Lakeland, FL, 33815","Casey Babb, CCIM",813-217-0321
Legacy Trail Apartments,"615 Osceola Rd, Nokomis, FL, 34275",Phil Ginexi,941-444-6160
Generational South Florida Real Estate,"4319 N Ocean Dr, Lauderdale-by-the-Sea, FL, 33308",Patrick Wagor,561-427-6151
Sunny Point,"460 Hale Ave, Brooksville, FL, 34601","Ned Roberts, CCIM",813-387-4721
2700 NE 135th Street,"2700 NE 135th St, North Miami, FL, 33181",Rich Deptula,248-848-4938
Salzedo Street Portfolio,"1500 Salzedo St, Coral Gables, FL, 33134",Mike Ciadella,954-377-0469
The Palms Apartments,"700 SW 81st Ave, North Lauderdale, FL, 33068",Dan Dratch,954-312-1677
BIARRITZ APARTMENTS,"960 Biarritz Dr, Miami Beach, FL, 33141",Austin Graham,404-445-1091
Dickey Lane,"11411 Dickey Ln, Captiva, FL, 33924","Laura Cari, CCIM",239-427-3400
La Linda,"1975 Calais Drive, Miami Beach, FL, 33141",Virgilio Fernandez,305-613-4507
Pocahontas Building,"2101 14th Ave, Vero Beach, FL, 32960",Jeffery Robison,321-722-0707
West Port Rental Home Portfolio,"The Hammocks West Port, PT CHARLOTTE, FL, 33953","Christi Pritchett, CCIM",239-489-4066
"Seller financing potential: Develop 92 units Downtown, Miami","342 NW 7th St, Miami, FL, 33128","Brian Carter, P.A.",305-582-2424
Auto Dealership and Service Business for Sale,"3003 S Combee Rd, Lakeland, FL, 33803",David Reyes,863-206-8278
2629 NW 17th Ave,"2629 NW 17th Ave, Miami, FL, 33142",Mauricio Villasuso,305-340-8901
Lakeside Shoppes at Osceola Village Center,"S John Young Pkwy, Orlando, FL, 34741",Zack McNamara,407-458-5409
California Club,"750 NE 195th St, North Miami Beach, FL, 33179",Deme Mekras,786-671-0149
Bent Palms & Davis Preserve,"16540 Bent Palms Cv, Fort Myers, FL, 33908",Adam Podbelski,813-697-1475
🔴 OFF MARKET - 5 FLORIDA GULF COAST OPPORTUNITIES,"302 N Shore Dr, Anna Maria, FL, 34216",Dino Dodani,386-679-0888
106-Unit Motel Conversion or 5-Acre 400-Unit Development,"5020 W Irlo Bronson Memorial Hwy, Kissimmee, FL, 34746",Benny Spensieri,813-391-1545
Miami Springs Inn Airport Redevelopment,"661 East Dr, Miami Springs, FL, 33166",Suraj Dalal,786-772-0718
8560-8580 Us Highway 1,"8560-8580 Us Highway 1, Micco, FL, 32976",Anthony Romero,321-723-9990
380 Units | Opportunity Zone Land | North Miami Beach,"NE 163rd St, North Miami Beach, FL, 33162","Fabio Faerman, CCIM",786-262-3771
1560 NW 15th St Rd,"1560 NW 15th St Rd, Miami, FL, 33125",Mauricio Villasuso,305-340-8901
12-Unit Miami Beach Multifamily,"2822 Pine Tree Dr, Miami Beach, FL, 33140",Sam Schwartz,773-750-3320
750 SW 2 St,"750 SW 2 St, Miami, FL, 33130",Mauricio Villasuso,305-340-8901
PAINT PROFESSIONALS INCORPORATED,"6332 Blanding Blvd, Jacksonville, FL, 32244","Eric Bumgarner, CCIM",904-861-1152
Wilton Manors Triplex,"1725 NE 26th Dr, Wilton Manors, FL, 33334",Timothy Neal,954-568-0530
Admiral Apartments,"1217 Park Ave, Orange Park, FL, 32073",Sidney Jones,904-993-7964
Established Water and Amusement Park with Zoning Flexibility,"6709 Pensacola Blvd, Pensacola, FL, 32505",Robert Bell,850-434-3434
"Thriving Title Company Serving Clearwater & Tampa, FL","Pinellas, Pinellas, FL, 33701",Skylar Adams,813-280-5468
CENTRAL GABLES APTS,"3409 S Le Jeune Rd, Coral Gables, FL, 33134",Miguel Solis,No Phone Number Available
"Gainesville, Fl. 9 +/- Ac Prime Development Location","8010 NW 39th Ave, Gainesville, FL, 32606",John Thomas,352-538-4453
RE with Operational Sales Center & Manufacturing for Sale,"1251 Commercial Way, Spring Hill, FL, 34606",Cheri O'Neil,813-787-5669
Wynwood Mixed-Use Land Portfolio,"4401 NW 2nd Ave, Miami, FL, 33127",Alex Zylberglait,786-522-7056
Palm Beach Gardens,"11255 Ellison Wilson Rd, North Palm Beach, FL, 33408",Tyler Sluman,941-840-3954
Multifamily Land Development Opportunity- Horizon West,"14320 Avalon Rd, Winter Garden, FL, 34787",Timothy Garito,800-407-1160
Prime Opportunity in the Heart of St. Augustine,"2350 N Ponce De Leon Blvd, St. Augustine, FL, 32084",Brad Kuskin,561-232-7899
"38746 Clinton Ave. Dade City, FL","38746 Clinton Ave, Dade City, FL, 33525",Bobby Welbourn,352-437-3027
Ocean and Beach Airbnb! Fully Renovated! Super Income!,"2215 N Atlantic Ave, Daytona Beach, FL, 32118",Dino Dodani,386-679-0888
Pompano Beach - 14 units Short term rental,"3208 SE 7th St, Pompano Beach, FL, 33062",Greg Celentano,305-205-3291
Site-Approved Mixed-Use Development,"2160 SE Hillmoor Drive, Port St. Lucie, FL, 34952",Chris Belland,561-277-6613
Renovated & Turnkey Apartment Building,"2011 Bay Dr, Miami Beach, FL, 33141",Sam Schwartz,773-750-3320
Undisclosed,"undisclosed, Undisclosed, FL, 33145",Roberta Caputo,954-596-8060
Aqua Marina Apartments,"7315 Carlyle Ave, Miami Beach, FL, 33141",Joseph Thomas,954-245-3481
Large Well-Established Towing Company,"Confidential, Pensacola, FL, 32534",Randall Graves,850-516-6763
South Beach Multifamily Opportunity,"900 Pennsylvania Ave, Miami Beach, FL, 33139","Federico Rochwerger, PA, CCIM",561-866-9616
Edge Park Place Re-Development Land Play & Retail Building,"1510 1st Ave N, St. Petersburg, FL, 33705",Jon Reno La Budde,727-510-1921
Palm Villas,"1000 99th St, Bay Harbor Islands, FL, 33154",Mariano Saal,305-918-2627
2900 W Flagler St,"2900 W Flagler St, Miami, FL, 33135",Gabriela Rodino,305-338-5355
36TH ST HIGHLANDS,"3325 NW 36th St, Miami, FL, 33142",Jose Maria Serrano,305-283-0492
115 INLET WAY,"115 Inlet Way, Palm Beach Shores, FL, 33404",Elena Grady,305-215-0036
Classic Sports Bar North Miami,"732 NE 125th St, North Miami, FL, 33161",Julie Negovan,215-431-9295
Northeast Florida (Riverfront Mansion),"Northeast Florida, Northeast Florida, FL, 32073",Carla Bahri,904-333-4472
Wynwood Place,"5140 NW 5th Ave, Miami, FL, 33127",Alfred Vargas,561-947-1965
10 UNIT APARTMENT BUILDING IN ST PETE BEACH,"555 69th Ave, St. Pete Beach, FL, 33706",Pat Calhoon,727-542-0998
626 NW 11th Ave,"626 NW 11th Ave, Miami, FL, 33136",Mauricio Villasuso,305-340-8901
831 1st Street North | Oceanfront MF Redevelopment,"831 1st St N, Jacksonville Beach, FL, 32250","Simon V. Grigoryan, MBA",904-672-1443
240 Oleander Ave,"240 Oleander Ave, Palm Beach, FL, 33480",joacim borg,561-571-1015
Approved 267 Units Lands for Development at Naranja,"14201 Henderson St, Naranja, FL, 33032","Fabio Faerman, CCIM",786-262-3771
MELROSE REDEVELOPMENT,"3520 NW 33rd Ave, Miami, FL, 33142",Agustin Duarte,305-450-5992
Villa with Pool and a Fourplex or Boutique Hotel,"1018 Jefferson Ave, Miami Beach, FL, 33139",Brigitte Lina,786-267-7320
Tangelo Townhomes,"2150 Luther Rd, Punta Gorda, FL, 33983",Jesse Ialuna,978-496-5436
Renovated & Turnkey Miami Beach Apartment Building,"924 Marseille Dr, Miami Beach, FL, 33141",Sam Schwartz,773-750-3320
Apartment building with 3 houses. Units are 1/1,"1770 Plunkett St, Hollywood, FL, 33020",Gulya Sanchez,305-915-8250
1802 S Nova Road,"1802 S Nova Road, South Daytona, FL, 32119",Sheriff Guindi,386-295-0257
Sea Salt on the Rocks,"8219 Surf Dr, Panama City, FL, 32408",Bill Thomas,850-381-3156
1335 SW 4th St,"1335 SW 4th St, Miami, FL, 33135",Mauricio Villasuso,305-340-8901
"40-UNIT DEVELOPMENT OPPORTUNITY IN DOWNTOWN CLEARWATER, FL!","504 S Myrtle Ave, Clearwater, FL, 33756",David Rosenthal,813-882-0884
Little Havana Development With Income,"1876 NW 7th St, Miami, FL, 33125",Alex Zylberglait,786-522-7056
Havana River Assemblage | 1.82 Acres | Block to Block,"606 W Flagler St, Miami, FL, 33130",Jonathan De La Rosa,786-522-7027
Crosslake RV Park,"11950 Old Kings Rd, Jacksonville, FL, 32219",Simon Garwood,904-673-8622
LENOX CONDO,"745 Lenox Ave., Miami Beach, FL, 33139",Carmen Mesa Moreno,561-401-5133
Coquina Oak,"950 Sidney Street, Saint Augustine, FL, 32084",Luiz Santos,321-412-3363
SEA HOUSE APARTMENTS,"601 S Ocean Dr, Fort Pierce, FL, 34949",Brian Schwan,772-215-1167
Bay Breeze Apartments,"719 S Berthe Ave, Panama City, FL, 32404","Andrew Green, CCIM",954-804-2184
62nd Street Covered Land Play,"2321 NW 62nd St, Miami, FL, 33147",David Vasquez,973-594-2400
ParkView Apartment | 10 (12) Low Rise Garden Style MF,"417 SE 3rd Ave, Hallandale Beach, FL, 33009",Niv Y. Habari,954-394-8977
World Storage (Shovel Ready Self-Storage Land),"11165 Tamiami Trl, North Port, FL, 34287",Jesse Ialuna,978-496-5436
The Wind Condominium Commercial Unit,"350 S Miami Ave, Miami, FL, 33131",Alejandro Anez,305-680-6030
4520 S Biscayne Dr,"4520 S Biscayne Dr, North Port, FL, 34287",Regina Melman,941-525-6818
19.63 Acre 8900 20th St,"8900 20th St, Vero Beach, FL, 32966",Christian Klein,772-708-3236
Miami Shores Waterfront Multifamily For Sale,"1316 NE 105th St, Miami Shores, FL, 33138",Sam Schwartz,773-750-3320
21.22-Acres MOL - Assisted Living - Memory Care Development!,"Old Middleburg Rd S, Jacksonville, FL, 32222",Benny Spensieri,813-391-1545
322-Unit Development Site,"1801 NE 4th Ave, Miami, FL, 33132",Arthur Porosoff,305-209-8866
1283 Blanding Blvd | 11.58 Acres | Will Subdivide | BB Zoned,"1283 Blanding Blvd, Orange Park, FL, 32065","Simon V. Grigoryan, MBA",904-672-1443
Multifamily 20 units,"000 Clearwater, Clearwater, FL, 33765",Gro Miller,727-210-6300
Corsica Rive,"2741 & 2747 First St, Fort Myers, FL, 33916",Adam Podbelski,813-697-1475
8035 ABBOTT AV,"8035 ABBOTT AV, Miami Beach, FL, 33141",MARILINA APFELBAUM,786-287-3633
12 Unit Apartment Building Lake Worth,"1002 9th Ave N, Lake Worth Beach, FL, 33460",Michael Fernandez,786-260-7830
ISLE OF NORMANDY MIAMI VI,"2130 Bay Dr, Miami Beach, FL, 33141",MARILINA APFELBAUM,786-287-3633
EXCLUSIVE HIGHLAND BEACH/BOCA RATON 4-PLEX WITH BOATING DOCK,"1121 Bel Air Dr, Highland Beach, FL, 33487",Harvey Heit,917-748-4810
"2600 & 2626 NE 2ND AVE, MIAMI, FL 33137","2600 & 2626 NE 2nd Ave, Miami, FL, 33137",Luciana L. Gonzalez,305-609-2879
Class A Facility Under Construction,"7728 Ridge Rd, Port Richey, FL, 34668",Christopher Travis,407-924-1408
931 SW 4th St,"931 SW 4th St, Miami, FL, 33130",Mauricio Villasuso,305-340-8901
655 Lenox Avenue,"655 Lenox Ave., Miami Beach, FL, 33139",David Cohen,305-728-5931
"Marina Restaurant, 13 Apartments, & 72 Boat Slips","109 E Dixie Ave, Leesburg, FL, 34748",Matthew Fischer,386-843-4265
Fort Myers (McGregor Blvd) Self Storage Development Site,"15149 McGregor Blvd, Fort Myers, FL, 33908",Josh Koerner,904-591-0140
"Pirates Pointe Resort, LLC.","1800 Kofresi Ct, Ruskin, FL, 33570",Bill Buffington,813-363-1009
Normandy Land | 14.95 Acres | PUD 240 Units | Permit Ready,"6701 Normandy Blvd, Jacksonville, FL, 32205","Simon V. Grigoryan, MBA",904-672-1443
Miami Beach Short-Term Rental Opportunity,"4025 Indian Creek Dr, Miami Beach, FL, 33140",Manny Chamizo,786-453-3171
Magnolia Landing - Mixed Use Land - Concept Plan Approved,"E Orange Ave, Eustis, FL, 32726",Jason Seda,954-856-8794
2424 W Tampa Bay Boulevard,"2424 W Tampa Bay Blvd, Tampa, FL, 33607",Frank Leto,813-961-9268
Boynton Beach Land,"6345 Boynton Beach Blvd, Boynton Beach, FL, 33437",Mayan Schwartz,561-710-1444
165+/- Acres w/ Development Potential,"Silverwood Ln, Howey-in-the-Hills, FL, 34737",Dan Tatro,352-396-9136
101294 . Dynamic SFR Scattered Across Florida,"101294 . Dynamic SFR Scattered Across Florida, Citrus Springs, FL, 34434",Tom Johnston,602-825-1780
Keystone Manor,"2225 NE 123rd St, North Miami, FL, 33181",Joel Rodriguez,305-635-3005
Building,"10860 SW 3rd St, Miami, FL, 33174",Mauricio Jalil,305-984-8693
91 Units-Multifamily Complex,"1 S Ridgewood Ave, Port Orange, FL, 32127",Dino Dodani,386-679-0888
Lombardy hotel,"6300 Collins Ave, Miami Beach, FL, 33141",Alan Waserstein,786-703-1731
TUTTLES SUB,"10500 Biscayne Blvd, Miami Shores, FL, 33138",Martine Lewis,305-389-4161
FIU - POTENTIAL STUDENT HOUSING SITE,"SW 7th St, Miami, FL, 33174",Mickey Lopez,786-295-3736
146 Acres I-75 Interchange,"I-75 cr 673, Bushnell, FL, 33513",Sanjay Amin,813-610-6392
US 1 and Cottrell Avenue,"US 1 and Cottrell Avenue, Cocoa, FL, 32927",Michael Dreyer,321-508-6422
"26+/- Acres PUD - US Hwy 441, Fruitland Park, Villages Area","2631 U.S. Hwy 441, Fruitland Park, FL, 34731",Dan Tatro,352-396-9136
4510 SW 24th Ave,"4510 SW 24th Ave, Gainesville, FL, 32607",Joshua Williams,352-363-0132
Miramar Village,"6032 SW 25th St, Miramar, FL, 33023",Joseph Thomas,954-245-3481
SPECTRUM AT REUNION,"7698 Tradition Blvd, Kissimmee, FL, 34747",Alex Zylberglait,786-522-7056
Davie Commons Apartments,"5621, 5661 & 5841 Southwest 36th Court, Davie, FL, 33314",Joseph Thomas,954-245-3481
Emerald Shore Apartments,"6600 N Ocean Blvd, Boynton Beach, FL, 33435",Evan Richardson,954-245-3501
OCEANFRONT AUCTION! 2 Bldgs W 10 Units in Smyrna Beach,"3201 Hill St, New Smyrna Beach, FL, 32169",Matthew Cooper,410-977-4711
Junction 36,"666 NW 36th St, Miami, FL, 33127",Jesse Spencer,305-632-7195
FL Storage Portfolio,"1029 State Rte 100, Keystone Heights, FL, 32656",Austin McLeod,404-445-1093
Sarasota Office Building Fronting Bee Ridge Road,"2030 Bee Ridge Rd, Sarasota, FL, 34239",Ryan McDonald,941-894-8677
