Building Name,Address,Broker,Broker Phone
Turn-key Opportunity Retail Store in Gulf Breeze,"649 Gulf Breeze Pkwy, Gulf Breeze, FL, 32561",Logan DeVries,850-501-6868
PLEASANT CITY,"440 21st St, West Palm Beach, FL, 33407",Ronald Grobman,786-280-5703
CAPE CORAL,"3922 SE 12th Ave, Cape Coral, FL, 33904",Rosaura Palermo,239-895-5053
CYPRESS POINTE - 3-UNIT CONDO PORTFOLIO,"4132 Versailles Dr, Orlando, FL, 32808",George Bateman,334-268-1737
The Miami Apartments,"6900 Miami Dr, Indian Lake Estates, FL, 33855",Tito Urbano,407-907-0350
10 Free Standing Self Storage Units,"2230 Mimosa Dr, Merritt Island, FL, 32953",Sunny Gandhi,407-395-4422
INCOME PRODUCING RV LOTS- 20 RV LOTS IN A 99 UNIT PARK,"11980 SW Shiloh Rd, Cedar Key, FL, 32625",Lia Diana,732-789-4071
Investment Five Plex,"2407 15th Ave, Vero Beach, FL, 32960",Kevin Lambert,772-532-1165
Woodlawn Mobile Home Park,"6699 Woodlawn Rd, Macclenny, FL, 32063",Steven McAdoo,904-574-7400
"5 Unit Rental Pack | NOI $67,640 | OWNER FINANCE | LOW RATE","3218 Waldrup Ln, Lakeland, FL, 33810",Ronald Breseman,813-803-0203
Cocoa Self-Storage,"1216 Lake Dr, Cocoa, FL, 32922","Marie Shorey,  CCIM",407-383-8142
PRICE REDUCED!!!! 611 ORA STREET- 6-PLEX ON THE BEACHSIDE !,"611 Ora St, Daytona Beach, FL, 32118",Navin Khemlani,386-405-0193
"6-Unit Multi-Family for Rehab >> Pensacola, FL","3101 W Mallory St, Pensacola, FL, 32505",Matthew Stanley PA,954-932-8997
7904 US HIGHWAY 301,"7904 US HIGHWAY 301, Hawthorne, FL, 32640",Daniel Colombo,407-489-9070
QUICK CLOSING-15 UNITS INCOME PRODUCING,"11240 N Northwood Dr INGLIS FL 15 UNITS, Inglis, FL, 34449",Dan Shimasaki,352-361-4947
Trophy Income-Producing Vacation Rental #33 - FL Keys,"101 11th Street Ocean, Lot 33, Marathon, FL, 33050",Brian Capo,407-404-1846
40 SW 13th St # 6,"40 SW 13th St # 6, Miami, FL, 33130",Alan Leon,305-748-7904
5240 WESTCHASE Court,"5240 WESTCHASE Court, Jacksonville, FL, 32210",Benjamin Schwab,561-889-2308
8 Unit Multifamily Development,"5148 1st Ave S, St. Petersburg, FL, 33707",Zach Steinberger,941-539-7253
Self Storage,"Minnesota Ave, Other City - In The State Of Florida, FL, 32444",Ana Serrat,754-302-0055
"SELLER FINANCE WITH 4% INTEREST ONLY IN JAX, FLORIDA","7639 Melissa Ct N, Jacksonville, FL, 32210",Eran Reizer,954-579-8437
PRICE REDUCED Opportunity Zone Site Red Hot SoDo,"72 W Jersey St, Orlando, FL, 32806",Ben Brenner,407-677-1700
Tamiami Center,"13801 SW 142nd Ave, Miami, FL, 33186",Wilson Alers,No Phone Number Available
"2,948 sqft Building | APOPKA FL 32703 | Orange County","932 S Central Ave, Apopka, FL, 32703",Drew Attias,904-569-6738
Three - Two Story Town Homes Portfolio - 7.25% CAP,"1608 Long Ridge Ct, Orlando, FL, 32807",Yogesh Bharucha,321-271-1217
Northwood Villas,"527 48th St, West Palm Beach, FL, 33407",Evan Richardson,954-245-3501
Multi -Property Portfolio in the Heart of Pensacola,"4106 W Jackson St, Pensacola, FL, 32505",Jean Rosado,850-750-2250
Turnkey Duplex Investment,"1538 Ella St, Jacksonville, FL, 32209",Stavros Adonis Mallios,904-348-0109
2627 Heavenly Dr. Estates,"2617 Heavenly Dr, Marianna, FL, 32448",Vincent DiMenna,850-666-1552
Legacy Grand,"7400 International Dr, Orlando, FL, 32819",Ignacio Finkelberg,954-988-1138
Hobe Sound Auto Vault | RV & Auto Storage,"SE Federal Hwy, Stuart, FL, 34997",Mathew Crady,772-260-1655
"2730 W Highland St Lakeland, FL 33815","2730 W Highland St, Lakeland, FL, 33815",Destini Lewis,786-394-3639
Duplex Dev Site & Covered Land Play,"56 NW 60th St, Miami, FL, 33127","Brian Carter, P.A.",305-582-2424
APARTMENT BUILDING IN THE HEART OF THE TOURIST DISTRICT!,"20 S Grandview Ave, Daytona Beach, FL, 32118",Dino Dodani,386-679-0888
"Mutli-family, Outdoor Storage, and Warehouse","8333 New York Ave, Hudson, FL, 34667",Peter Katsarelis,813-549-7653
Sabal Pointe,"780 E Merritt Island Causeway, Merritt Island, FL, 32952",James Hayes,No Phone Number Available
US Highway 27,"US Highway 27, Haines City, FL, 33844",Gary Ralston,863-877-2828
Triplex Investment Fort Myers Florida,"2032-2040 Wright St, Fort Myers, FL, 33916",Jesse Spencer,239-788-7820
Sulphur Springs Apartments,"1309 E Sitka St, Tampa, FL, 33604",Kyle Keelan,727-251-5953
"Ruby Lane Mobile Home Park - Bonifay, FL","2344 Ruby Lane, Bonifay, FL, 32425",William Capone,954-723-8342
Signature Storage Suites,"16255 Pine Ridge Rd, Fort Myers, FL, 33908",Justin Milcetich,239-489-4066
West Palm Beach Triplex,"611 El Vedado, West Palm Beach, FL, 33405",Cole Leavitt,561-342-4368
Palatka Self Storage,"1204 Oak St, Palatka, FL, 32177",Townsend Russell,904-315-7435
18585 N Highway 441,"18585 N Highway 441, Orange Lake, FL, 32681",John Roberts,352-816-7026
Cypress Pointe - Unit Condo Package,"4154 Versailles Dr, Orlando, FL, 32808",George Bateman,334-268-1737
Fort Pierce Storage & RV Parking,"4400 Metzger Rd, Fort Pierce, FL, 34947",John Lindsey,919-381-7799
Twenty-Sixty Street Apartments,"612 26th St W, Bradenton, FL, 34205",Phil Ginexi,941-444-6160
Meridian Flex and Storage Suites,"16221 Lee Rd, Fort Myers, FL, 33912",David R. Bartley Sr.,239-261-1186
Madison Complex 12,"1960 US-90, Madison, FL, 32340",Henry Mahan,954-394-4010
9.3 CAP - BRAND NEW DUPLEX,"2703 Ave G, Fort Pierce, FL, 34947",Nicholas Tobis,772-888-5658
4 unit Near The New Senor Frogs!!,"Harvey Ave, Daytona Beach, FL, 32118",Dino Dodani,386-679-0888
"932 NW 70th Street. Miami, Fl 33150","932 NW 70th St, Miami, FL, 33150",Julissa Ray,305-989-9550
Little River Covered Development Site,"150 NE 83rd St, Miami, FL, 33138",Fredrick Klein,305-773-3311
Rental Home Portfolio,"4208 W Jackson St, Pensacola, FL, 32505",Daniel Hua,850-516-9967
MORROW Duplex,"6037 E Morrow St, Jacksonville, FL, 32217",William Bruce,904-994-1579
Beautiful Historic Building/Church-Downtown Gainesville,"619 NE 1st St, Gainesville, FL, 32601",Ben Zuber,352-494-5953
Lakeside Storage Suites- Mancaves,"16291 Innovation Ln, Fort Myers, FL, 33913",Chad Reedy,239-989-8838
11595 NORMANDY Boulevard,"11595 NORMANDY Boulevard, Jacksonville, FL, 32221",TRACY M WILLIAMS LLC,904-274-8997
26th Ave and 47th St. Portfolio,"2701 S 47th St, Tampa, FL, 33619",Gary W. Culler PA,813-417-0122
