Building Name,Address,Broker,Broker Phone
2712 Berry Street,"2712 Berry Street, Houston, TX, 77004",Magdalena Cano,No Phone Number Available
255 Natalen Ave,"255 Natalen Ave, San Antonio, TX, 78209",Sterling Williams,210-569-9008
6-Plex on Wilmington St,"4755 Wilmington St, Houston, TX, 77033",Loren Miner,626-826-5906
607 N 20th,"607 N 20th St, Killeen, TX, 76541",Denise Zehr,254-547-0505
Montgomery Springs,"NWQ of Hwy 105 & Buffalo Springs Dr, Montgomery, TX, 77356",David Kreston,713-899-0618
Wagon Wheel Estates,"914 E Calhoun St, El Campo, TX, 77437",Carrie Sieger,262-812-6420
Carthage Motel (formerly Economy Inn),"335 S Shelby St, Carthage, TX, 75633",Maya Patel,832-438-6292
202 N Valencia Pl,"202 N Valencia Pl, El Paso, TX, 79905",MIke Santamaria,915-494-5154
Bronte Self-Storage Facility (32 Units),"109 NW Railroad St, Bronte, TX, 76933","Sterling D. Fryar, MAI",325-276-0757
McQueeney Boat and RV Storage,"8826 FM725, McQueeney, TX, 78123",Liam Duddy,949-439-5271
HOUSTON DUPLEX FOR SALE | LOW PRICE | 4 BEDS/2.5 BATH EACH,"4433 Phlox St, Houston, TX, 77051",ADEWALE LAWAL,832-776-9582
Very clean triplex (duplex + SFH) close to the 1% rule,"1501 Bundrant Dr, Killeen, TX, 76543",Max Son,512-415-6244
4-Pad RV Park Hill Country Views Near Brazos River,"158 Private Rd 221, Aquilla, TX, 76622",Trevor Caswell,512-940-9068
Operating Assisted Living Facility in San Antonio,"Undisclosed, San Anttonio, TX, 78232",Patrick Serna,210-400-7131
Old Barracks Historic Landmark,"1828 W Paisano Dr, El Paso, TX, 79922","Laura Salome, CCIM",915-544-6208
The Right Mix Ranch,"1000 County Road 904, Joshua, TX, 76058",JP King,800-558-5464
Triplex Property for Sale – A Great Investment Opportunity,"928 University Ave, Huntsville, TX, 77320","Adam Olsen, CCIM",713-614-2670
TRI LAKES RV PARK,"100 PRIVATE ROAD 2905, PITTSBURG, TX, 75686",Jennifer Hageman,469-682-8761
Full Duplex in Fort Worth,"1700 & 1702 San Rafael, Fort Worth, TX, 76134",DeDe Galindo,817-203-0315
Restaurant Business at 1103 Mason St,"1103 Mason St, San Antonio, TX, 78208",Kevin Chu,210-503-1990
1417 S Xanthia Street,"1417 S Xanthia Street, Alton, TX, 78753",Patricia Baez,No Phone Number Available
1010 Rose Hill,"1010 Rose Hl Rd, Terrell, TX, 75160",Rod Holland,214-641-6434
CCity RV Park,"2310 Hemphill St, Colorado City, TX, 79512",Trent Babb,512-710-9072
PB RV Park,"8449 W 26th St, Odessa, TX, 79763",Mike Holloman,713-581-4514
6 Studio,"9411 Live Point, San Antonio, TX, 78250",Jean Reich,210-241-0268
Ready Lock Go,"150 N Live Oak St, Webster, TX, 77598",Thomas Dickinson,972-755-5219
Unrestricted Multiple Purpose Office,"910 Cable St, Conroe, TX, 77301",Vikas Abbasi,936-333-0931
Villa Nueva,"5600 North Fwy, Houston, TX, 77076",Travis Clark,805-404-7272
"3 story 24,000sf on 2.94 acres - Near Downtown Waco","925 N 18th St, Waco, TX, 76707",Brad Wetzel,254-709-9703
Storage Facility w/Approved Plans for Expansion,"1609 Lakeland Dr, Liberty, TX, 77575",Juan C. Sanchez,832-607-8678
1803 Texas Ave,"1803 Texas Ave, San Antonio, TX, 78228",Dominique Jimenez,No Phone Number Available
The Forest,"22820 Imperial Valley Dr, Houston, TX, 77073",GREA Houston Brokerage,713-587-9606
BUILT TO PERFECTION GOTCHA COVERED RV PARK - Rockport TX,"228 N Walker Rd, Rockport, TX, 78382",Annette Scott,512-803-7889
NEW and USED TYRE SHOP FOR SALE.,"12836 Westheimer Rd, Houston, TX, 77077",Ernest Kalibala,832-573-3367
16 Unit Self Storage Add Value Opportunity,"1624 Diamond Rd, Bolivar Peninsula, TX, 77650",Donna Winfrey,713-377-6166
Houston Texas Luxury Contemporary New Construction,"1515 Wilburforce St, Houston, TX, 77091",ADEWALE LAWAL,832-776-9582
Panhandle St 6 unit,"1203 Panhandle St, Denton, TX, 76201",Steven Geis,940-368-5559
SAN ANTONIO OFF MARKET MULTIFAMILY PORTFOLIO,"Undisclosed, San Antonio, TX, 78205",Emily Johnson,210-640-9901
Turnkey Car Wash Portfolio in High-Traffic Beaumont Corridor,"7412 TX-105, Beaumont, TX, 77713",Alexander Pavone,480-622-0050
MOBILE PARK - MULTIFAMILY - 241 Chauvin Place El Paso 79928,"241 Chauvin Pl, El Paso, TX, 79928",Aroma Zidan,424-230-4207
Luxury Storage Warehouse,"4115 Kreinhop Rd, Spring, TX, 77388",Andy Lynch,713-471-6570
Graham Street Duplexes,"5404 Graham St, Fort Worth, TX, 76114",Link Karlen,817-996-6200
GROUND LEASE AVIALBLE FOR NEW DEVELOPMENT/PROJECT,"9791 Forest Ln, Dallas, TX, 75243",MOHAMMED KHANANI,469-602-2321
Sattler Self Storage,"1065 Market Heights, New Braunfels, TX, 78132",Ryan Parker,830-481-2233
1408 Marcela Drive,"1408 Marcela Dr, Weslaco, TX, 78599",Fernando Pacheco,956-212-1095
1609 Nassau Street,"1609 Nassau Street, Edinburg, TX, 78541",Myra Caridad García,956-648-6456
Cafe Shop Sublease and Asset Sale in Katy Asian Town,"23015 Colonial Pkwy, Katy, TX, 77493",Jimmy Chang,832-577-7725
"406 E 2nd St, Corrigan, TX 75939","406 E 2nd St, Corrigan, TX, 75939",Jeff George,281-336-3121
2800 N 30th Street,"2800 N 30th Street, McAllen, TX, 78501",David Goldberg,312-912-3724
"Orange Grove RV Park and Property Now Offered at $675,000","176 Co Rd 304, Orange Grove, TX, 78372",Shannon Harman,713-478-1962
FULLY FURNISHED Vacation Rental Income Producing Property,"2341 Eagle St, Houston, TX, 77004",Ernest Kalibala,832-573-3367
Salon for Sale in Prime Baytown - Tune-Up Manly Salon,"6300 Garth Rd, Baytown, TX, 77521",Jeri Blake,832-326-0097
WAREHOUSE/ OFFICE SPACE,"2616 SW Loop 410, San Antonio, TX, 78227","Kingdom Internation Realty, LLC",210-663-6706
Townhomes on Three,"15240 Galveston Rd, Webster, TX, 77598",GREA Houston Brokerage,713-587-9606
Bryn Mawr,"423 Bryn Mawr Dr, San Antonio, TX, 78209",Sterling Williams,210-569-9008
Magnolia East,"13663 FM 1488, Magnolia, TX, 77354",Harrison Mohn,713-898-3976
1101 Myrtle Ave,"1101 Myrtle Ave, El Paso, TX, 79901",James Moreno,512-669-6280
TEXAS CITY RETAIL STRIP,"1710 Texas Ave, Texas City, TX, 77590",RON HOUSTON,281-733-9853
Steelcreek Self Storage Lewisville,"940 N Mill St, Lewisville, TX, 75057",Bill Bellomy,832-623-1690
Duplex in Central Austin,"6100 Calmar Cove, Austin, TX, 78721",Eric Clifft,512-820-5197
East Powell Duplex,"1716 E Powell Ave, Fort Worth, TX, 76104",Steve Olson,801-362-3392
968 Elmwood Ave Fort Worth,"968 Elmwood Ave, Fort Worth, TX, 76104",Karan Patel,469-396-5318
2500 Willow Hill,"2500 Willow Hill Dr, Austin, TX, 78741",Graham Schmergel,512-861-3423
3.81 AC RV/MH Park or Self Storage Development Opportunity,"4409 W Stan Schlueter Loop, Killeen, TX, 76549",Landan Dory,512-222-6826
"1314 N 15th Street, Waco, Texas 76707","1314 N 15th Street, Waco, TX, 76707",Shane Turner,254-640-2365
4110 Hopper Road,"4110 Hopper Rd, Houston, TX, 77093",Matthew Guzman,281-869-6100
Angleton 36-Unit Mini Self-Storage on ~1 Acre by 288 Bus.,"2600 Shanks Rd, Angleton, TX, 77515",Elgin Wells,713-882-3195
"4112-4112 Junius St, Dallas, TX | 100% Occupied 4-Plex","4114 Junius St, Dallas, TX, 75246",Ross Miller,972-772-6025
2213 W 34th St,"2213 W 34th St, Houston, TX, 77018",Kyle Fischer,281-627-0834
"610 Nash Street Round Rock, TX 78664","610 Nash Street, Round Rock, 78664",Chip Bubela,979-743-4555
Waters at Westchase,"11490 Harwin Dr., Houston, TX, 77072",GREA Houston Brokerage,713-587-9606
11133-A Huffmeister Rd,"11133-A Huffmeister Rd, Houston, TX, 77065",Joel C. English,713-473-7200
2916 Chandler Hwy,"2916 Chandler Hwy, Tyler, TX, 75702",Matthew Marshall,903-581-3737
910 Avenue J,"910 Avenue J, Huntsville, TX, 77320",Kevin Markham,936-295-5989
Gaston Avenue Condos & Pad Site,"4211 Gaston Ave, Dallas, TX, 75246",Ty Underwood,214-520-8818
"Rancho Grande RV Park for Sale in Rankin, TX","2022 US-67, Rankin, TX, 79778",Thomas Johnston,432-688-8200
2401 Bucks Run,"2401 Bucks Run, Austin, TX, 78744","Robby Roden, CCIM, CPM",512-787-6139
2007 S 15th St,"2007 S 15th St, Waco, TX, 76706",H. Bland Cromwell,No Phone Number Available
3113 1/2 Anita Street,"3113-1/2 Anita St, Houston, TX, 77004",Michael Flores,281-889-9352
Watson & Taylor Self Storage Brockbank,"9801 Brockbank Dr, Dallas, TX, 75220",Bill Bellomy,832-623-1690
Boerne Villas,"311 E San Antonio Ave, Boerne, TX, 78006",Sam Parsley,432-638-7202
Shady Grove RV Park,"2905 W Oakdale Rd, Grand Prairie, TX, 75050",Enon Winkler,407-900-9986
NUECES TOWN PARK - MOBILE HOME & RV PARK OWNER FINANCE,"3737 Sessions Rd, Corpus Christi, TX, 78410",Annette Scott,512-803-7889
Modern Hideaway,"7441 Alameda Ave, El Paso, TX, 79915",David Arteaga,915-233-0707
271 Apartment Complex,"12518 18th Ave, Tyler, TX, 75708",Caleb Culver,903-530-4771
Ingram Texas Income property with Owner financing available,"138 Grey Moss Ct, Ingram, TX, 78025",Teresa Bailey-Weirich,512-517-2691
Northwest Storage,"1211 Northwest Blvd, Georgetown, TX, 78628",Bill Bellomy,832-623-1690
Windswept Oaks RV Park,"1440 Myrtle, Fulton, TX, 78358",Robin Martin,361-463-1079
"Luxe Garage Condo in Katy, Texas","1435 FM 1463 - Unit 2, Katy, TX, 77494",Mina Rezaie,832-607-2474
4710 W Illinois Ave,"4710 W Illinois Ave, Dallas, TX, 75211",Scott Smith,214-720-3663
Shavano Garage Condos,"13951 Indian Woods, San Antonio, TX, 78249",Gilles Ghez,210-222-2424
City View Inn & Suites - 1306 E Commerce St & Cherry,"1306 E Commerce St, San Antonio, TX, 78205",SanJay Jawanda,210-316-0344
"La Hacienda Inn, 1524 E Commerce St & Olive, San Antonio","1524 E Commerce St, San Antonio, TX, 78205",SanJay Jawanda,210-316-0344
1105 W La Pointe Avenue,"1105 W La Pointe Avenue, Alton, TX, 78573",Myra Caridad García,956-648-6456
0 Castlebridge Drive,"0 Castlebridge Drive, Houston, TX, 77065","Preston Yaggi, SIOR, CCIM",713-744-7440
Farrar West Apartments,"5720 66th St, Lubbock, TX, 79424",Marcus Christensen,305-394-8165
Infill Heavy Manufacturing Facility on 5.83 Acres,"1430 Vanderbilt Drive, El Paso, TX, 79935",Brett Preston,915-843-8888
5825 Westside Dr,"5825 Westside Dr, El Paso, TX, 79932",Sergio Tinajero,915-422-2242
Sherman 61.31,"SEC U.S. 75 & Blue Flame Rd., Sherman, TX, 75090",Bobby Kearns,214-897-7333
"Old Texas Bunkhouse | 3402 Goodnight Blvd, Wills Point, TX","3402 Goodnight Blvd, Wills Point, TX, 75169",Kevin Weable,972-845-1663
Kilgore Cox Road,"Cox Dr, Kilgore, TX, 75662",Andy Kutach,512-484-3002
0 N 83rd Street,"0 N 83rd Street, Edinburg, TX, 78542",Myra Caridad García,956-648-6456
6908 Venus Dr.,"6908 Venus Dr, Edinburg, TX, 78542",Pete Torres,956-536-8994
1804 Mansfield St - 1-Acre Development Lot in Houston,"1804 Mansfield St, Houston, TX, 77091",Jeri Blake,832-326-0097
2700 Mockingbird Road,"2700 Mockingbird Road, Weslaco, TX, 78596",Bryanna Hernandez,No Phone Number Available
700 Oriole Road,"700 Oriole Road, Weslaco, TX, 78596",Bryanna Hernandez,No Phone Number Available
819 Pleasant View Drive,"819 Pleasant View Drive, Weslaco, TX, 78599",Tanya Chapa,No Phone Number Available
1420 Corpus Christi St.,"1420 Corpus Christi St., Laredo, TX, 78040",Pedro Martinez,956-324-9874
Fall Creek Square,"15116 Mesa Dr, Humble, TX, 77396",GREA Houston Brokerage,713-587-9606
2409 Manor Rd,"2409 Manor Rd, Austin, TX, 78722",Andrew Karr,512-961-1883
Houston Skyline Views,"1501 Noble St, Houston, TX, 77009",Caryn Craig,713-398-2839
803 W Emerald Drive,"803 W Emerald Drive, Pharr, TX, 78577",Aurora Trevino,956-221-0204
1321 S Michigan Street,"1321 S Michigan Street, Alton, TX, 78573",Aurora Trevino,956-221-0204
1209 S Michigan Street,"1209 S Michigan Street, Alton, TX, 78573",Aurora Trevino,956-221-0204
1217 S Michigan Street,"1217 S Michigan Street, Alton, TX, 78573",Aurora Trevino,956-221-0204
1309 S Michigan Street,"1309 S Michigan Street, Alton, TX, 78573",Aurora Trevino,956-221-0204
1317 S Michigan Street,"1317 S Michigan Street, Alton, TX, 78573",Aurora Trevino,956-221-0204
6655 7TH ST.,"6655 7th St, Bay City, TX, 77414",Erik Frankson,979-244-6194
12733 FM 1960 E. Huffman TEXAS 77336,"12733 Farm to Market 1960 Rd E, Huffman, TX, 77336",SHIJIMON JACOB,832-755-2867
1321 Joscelyn Drive,"1321 Joscelyn Drive, Edinburg, TX, 78539",Avinaash Buxani,956-949-9337
503 N University Ave,"503 N University Ave, Lubbock, TX, 79415",Jack Chapman SIOR CCIM,806-789-8257
Hondo & D'Hanis | 17 Rental Units,"521 FM 2200, D'Hanis, TX, 78850","Harold ""Butch"" Galm",830-931-0900
Hondo & D'Hanis | 17 Rental Units,"1400 Avenue W, Hondo, TX, 78861","Harold ""Butch"" Galm",830-931-0900
"1623 Avenue N 1/2, Galveston 4-Plex Income Prop Near Beach","1623 Ave N 1/2, Galveston, TX, 77550",Tim Larson,281-508-0800
Hondo & D'Hanis Income Investments,"3002 Avenue E, Hondo, TX, 78861","Harold ""Butch"" Galm",830-931-0900
Roll Off Dumpster Business,"10210 Quaker Ave, Lubbock, TX, 79424",Daniel Stanton,806-281-4005
22.35 King Street,"22.35 King Street, Raymondville, TX, 78580",ZINTIHA LOYA,956-536-9270
"904 Pleasant View Drive, Weslaco, Texas 78599","904 Pleasantview Dr, Weslaco, TX, 78596",Cesar Felix,956-648-2918
Mexican Restaurant for Sale in Rowlett,"6501 Dalrock Rd, Rowlett, TX, 75089",Renae Anderson,972-974-7419
Oaks of Villa Maria,"1305 W Villa Maria Rd, Bryan, TX, 77801",Farhad Hojat Nejad,No Phone Number Available
"4.45-Ac Land For Sale, Hwy 59","27201 Midline Rd, Cleveland, TX, 77327",Anne Vickery,281-940-7253
"1622 N Pine St San Antonio, TX 78208-1101","1622 N Pine St, San Antonio, TX, 78208",Adriana Rodriguez,210-388-2263
901 Pleasant View Drive,"901 Pleasant View Drive, Weslaco, TX, 78599",Tanya Chapa,No Phone Number Available
5311 Perry Ave,"5311 Perry Ave, Galveston, TX, 77551",Jennifer Hurst,832-282-6396
"2701 Sage Dr, Weslaco, TX 78596","2701 Sage Dr, Weslaco, TX, 78596",Eric Ledé,956-223-0586
"2705 Sage Drive, Weslaco, TX 78596","2705 Sage Dr, Weslaco, TX, 78596",Eric Ledé,956-223-0586
2313 Lake Dr.,"2313 W Lake Dr, Taylor, TX, 76574",Rick Northcutt,512-296-7379
4 Plex -1305 Mills,"1305 Mill St, Gainesville, TX, 76240",Marilyn Williams,817-896-0968
802 W Jackson Street,"802 W Jackson St, El Campo, TX, 77437",Kacy Bain,979-541-7096
"*FIRE SALE* Smoke Shop Portfolio, Texas, USA","Smoke Shop, Terrell, TX, 73301",Skylar Adams,813-280-5468
"Johnny Yurts | Johnson City, Texas","488 Stanton Rd, Johnson City, TX, 78636",Wynne-Smith Horton Real Estate Group,830-928-1919
400 Leopard,"400 Leopard Ave, Livingston, TX, 77351",Bob Burkhalter,936-328-7077
2025 Aruba Drive,"2025 Aruba Drive, Edinburg, TX, 78541",Maggie Harris,956-984-9019
Potential High Density Student Housing or Townhome Site,"1600 N Ruddell St, Denton, TX, 76209",Steven Geis,940-368-5559
2913 E Israel Avenue,"2913 E Israel Avenue, Alton, TX, 78573",Janet Clement,956-520-2318
Sylvia's Wig Shop,"3220 Gus Thomasson Rd, Mesquite, TX, 75150",Kalani Hooker,972-698-9700
2904 E Israel Avenue,"2904 E Israel Avenue, Alton, TX, 78573",Janet Clement,956-520-2318
"900 Bonham Street Paris, TX 75460","900 Bonham Street, Paris, 75460",Bryan Glass,903-517-5889
3571-3577 Noah St,"3571 Noah St, Houston, TX, 77021",Chris Abel,281-552-8423
Law Firm For Sale Denver,"Law Firm For Sale Denver, Altair, TX, 77412",MJ Nuanes,303-601-0883
"439 FM-2604, Whitney, TX 76692","439 FM2604, Whitney, TX, 76692","Kirk Regian, Broker",254-218-4220
3702 W Zelma Street,"3702 W Zelma Street, Edinburg, TX, 78541",Maggie Harris,956-984-9019
G2 MotorSport Park Luxury Garage,"400-7 Fast Lane, Anna, TX, 75409",Paul Ruth,No Phone Number Available
Mt. Pleasant Apartment Building,"3954 US-67, Mount Pleasant, TX, 75455",Ben Norris,903-738-9409
Wong's Palace,"2201 S W S Young Dr, Killeen, TX, 76543",Serene Wong,346-833-8613
3607 Anita Street,"3607 Anita St, Houston, TX, 77004",Michael Flores,281-889-9352
0 FM 493,"0 FM 493, Edcouch, TX, 78538",Mario Baez,956-827-0170
Sunterra Estates Fourplexes,"2904 E Israel Ave, Alton, TX, 78573",Janet Clement,956-520-2318
7107 & 7109 Belgold Street,"7107 & 7109 BELGOLD STREET, Houston, TX, 77066",Justin Clark,713-322-2200
"Prime Outdoor Storage Facility, Truck Yard in Cypress TX","14013 Huffmeister Rd, Cypress, TX, 77429",Parminder Singh,347-279-7765
The Little Store,"17714 County Rd 463, Brazoria, TX, 77422",Kim Beebe,979-236-2628
Watson & Taylor Self Storage North Austin,"11712 N Lamar Blvd, Austin, TX, 78753",Bill Bellomy,832-623-1690
Steelcreek Storage Boat & Rv Greenville,"1909 I-30 Frontage Rd, Greenville, TX, 75402",Bill Bellomy,832-623-1690
"Three - 50x150 lots, total 150x150, Zoned RDD","1311 N 1st St, Wichita Falls, TX, 76306",Michael Todaro,201-522-7641
Reagan & Boynton Portfolio,"113 South Reagan Street, Hamilton, TX, 76531",Andrew Neumann,925-999-5135
1008 W La Pointe Avenue W,"1008 W La Pointe Avenue W, Alton, TX, 78573",ZINTIHA LOYA,956-536-9270
1008 W La Pointe Avenue W,"1008 W La Pointe Avenue W, Alton, TX, 78573",ZINTIHA LOYA,956-536-9270
100 JAIME J ZAPATA ST,"100 Jaime J Zapata St, New Falcon, TX, 78564",Michelle Guerra,956-324-2427
HOLMES DUKE HOUSE,"694 Forrest St, Beaumont, TX, 77701",Tyler Wharton,409-998-9510
800 W Washington St,"800 W Washington St, Clarksville, TX, 75426",Michael Vasquez,210-255-1118
Drunken Boat,"12116 Westheimer Rd, Houston, TX, 77077",Serene Wong,346-833-8613
"3185 Lamar Avenue Paris, TX 75460","3185 LAMAR AVENUE, Paris, 75460",Bryan Glass,903-517-5889
"1425 S Church Street & 1810 N Main Street Paris, TX 75460","1425 S CHURCH, Paris, 75460",Bryan Glass,903-517-5889
"301 W Dallas Avenue Cooper, TX 75432","301 W Dallas Avenue, Cooper, 75432",Bryan Glass,903-517-5889
"2190 S Church Street Paris, TX 75460","2190 S CHURCH, Paris, 75460",Bryan Glass,903-517-5889
30 Acre Development Site in Waco,"1401 Lake Shore Dr, Waco, TX, 76708",Brad Wetzel,254-709-9703
11.0-Acres Land - Kingsville,"US-77 BUS, Kingsville, TX, 78363",Steven Saules,361-905-5000
2100 Aruba Drive,"2100 Aruba Drive, Edinburg, TX, 78541",misael Blanco,956-328-2167
702 Hwy 79,"702 W Hwy 79, Franklin, TX, 77856",Jack Parker,979-260-5000
19910 Angus Road Unit A & B,"19910 Angus Rd, Crosby, TX, 77532",Daniel Loria,832-984-5824
"328 N Main Street Paris, TX 75460","328 N Main Street, Paris, 75460",Bryan Glass,903-517-5889
137 Knape Rd. in La Grange,"137 Knape Rd., La Grange, 78945",Chip Bubela,979-743-4555
505 N 12th Street,"505 N 12th Street, McAllen, TX, 78501",Marsha Acosta,956-631-1322
Luxury Fourplex in Eldorado Estates,"12638 N 33rd Ln, McAllen, TX, 78504",Janet Clement,956-520-2318
Texas 10,"2001 E 20th St, Hooks, TX, 75561",Brian Henry,903-824-0268
1012 W La Pointe Avenue,"1012 W La Pointe Avenue, Alton, TX, 78573",ZINTIHA LOYA,956-536-9270
"Luxe Garage Condo in Katy, Texas","1435 FM 1463 Unit 1, Katy, TX, 77494",Mina Rezaie,832-607-2474
Avinger Mini Storage,"205 State Hwy 155, Avinger, TX, 75630",Scott Nolan,903-738-5636
701 W Valencia Dr,"701 W Valencia Dr, Amarillo, TX, 79118",Justin Kite,806-468-4897
2404 Villa Ct,"2404 Villa Court, Tyler, TX, 75703",Mike Charles,214-762-1932
0 N Pope Street,"0 N Pope Street, Rio Grande City, TX, 78582",Hiram Diaz,956-378-7355
Kung Fu Tea,"3518 Palmer Hwy, Texas City, TX, 77590",Dan King,713-876-2550
"905-909 Shepherd St, Morgan, TX 76671","905-909 Shepherd St, Morgan, TX, 76671","Kirk Regian, Broker",254-218-4220
Lot 324 N Bentsen Palm Drive,"Lot 324 N Bentsen Palm Drive, Mission, TX, 78574",Maria Guerra,956-624-7036
Full Service Restaurant Texas,"Full Service Restaurant, San Antonio, TX, 78227",Gary Battaglia,816-349-1145
Texas City,"315 8th Ave N, Texas City, TX, 77590",Adam Hunt,713-360-1031
Courtshire,"11314 Courtshire Rd, Houston, TX, 77076",Adam Hunt,713-360-1031
5101 Crane,"5101 Crane St, Houston, TX, 77026",Adam Hunt,713-360-1031
2208 W Main St.,"2208 W Main St, Clarksville, TX, 75426",Bryan Glass,903-517-5889
"Trenton, TX - Investment Property","805 S Pearl St, Trenton, TX, 75490",Alexander Chapa,469-865-3500
3609 Valeria Street,"3609 Valeria Street, Edinburg, TX, 78541",Cesar Cepeda,956-821-3765
3703 Valeria Street,"3703 Valeria Street, Edinburg, TX, 78541",Cesar Cepeda,956-821-3765
7006 N 56th Lane,"7006 N 56th Lane, Mission, TX, 78573",Stephanie Norman,956-807-8748
1904 Jackson Street,"1904 Jackson Street, Weslaco, TX, 78599",Jose Luis Garcia,956-968-8900
Traditional African Food Restaurant,"11214 Plainfield St, Houston, TX, 77031",Serene Wong,346-833-8613
Classic Novelties,"9305 Harwin Dr., Houston, TX, 77036",Serene Wong,346-833-8613
Swimming Pool Construction Southern Texas,"Swimming Pool Construction New and Remodels Servicing Southern Texas, Brownsville, TX, 78520",Gary Battaglia,816-349-1145
5704 Ozark Avenue,"5704 Ozark Avenue, McAllen, TX, 78504",Jaime Lee Gonzalez,956-599-8400
5812 Ozark Avenue,"5812 Ozark Avenue, McAllen, TX, 78504",Jaime Lee Gonzalez,956-599-8400
"Mechanic Shop | HWY 82 Frontage | DeKalb, TX","10638 US-82, De Kalb, TX, 75559",Renee Harvey,No Phone Number Available
Christian Estates Fiveplex - 104 Lauryn Drive,"Lauryn Dr, San Juan, TX, 78589",Janet Clement,956-520-2318
4508 N Mile 4 1/2 W,"4508 N Mile 4 1/2 W, Weslaco, TX, 78599",Jose Luis Garcia,956-968-8900
3 properties in Shadow Bay,"13719 Lookout Ct, Willis, TX, 77318",Jeffrey A Blake,936-718-1549
Crystal Water,"8200 Wilcrest Dr. Unit 7, Houston, TX, 77072",Dan King,713-876-2550
14401 Avenue P - Mobile home Park,"14401 Avenue P, Lubbock, TX, 79423","David Haymes, CCIM",806-776-2831
Best Nail Salon in the center of Huntsville TX,"2412 Sam Houston Ave, Huntsville, TX, 77340",Teddy Nguyen,832-977-4274
Profitable Japanese Resto w/ Wok Station & Liquor License,"8700 Hwy 6, Missouri City, TX, 77459",Serene Wong,346-833-8613
6116 S Dairy Ashford Rd,"6116 S Dairy Ashford Rd, Houston, TX, 77072",Serene Wong,346-833-8613
1412 Lore Drive,"1412 Lore Drive, Weslaco, TX, 78599",Esteban Sanchez,956-340-4633
12 W Defee Channelview,"12 W Defee St, Baytown, TX, 77520",Jay Shaw,832-859-3893
3202 Eisenhauer Rd #801 & #802,"3202 Eisenhauer Rd, San Antonio, TX, 78209",Patrick Vallejo,210-618-6924
4421 Theiss road,"4421 Theiss Rd, Humble, TX, 77338",Doc Perrier,346-223-5954
00 ARROYO DR,"00 Arroyo Dr., Harlingen, TX, 78552",Donald Haire,956-367-3313
